,DewTemp,DryTemp,Precip,Wspeed,weekday,holiday,cust_cnt,subs_cnt,cust_dur,subs_dur
2013-06-01 00:00:00,64.0,77.0,0.0,5.0,5,False,2.0,23.0,3650.0,139967.0
2013-06-01 01:00:00,65.0,76.0,0.0,,5,False,2.0,10.0,2332.0,15257.0
2013-06-01 02:00:00,65.0,76.0,0.0,5.0,5,False,3.0,4.0,5696.0,2194.0
2013-06-01 03:00:00,65.0,74.0,0.0,0.0,5,False,1.0,6.0,620.0,4908.0
2013-06-01 04:00:00,65.0,74.0,0.0,6.0,5,False,,1.0,,514.0
2013-06-01 05:00:00,65.0,74.0,0.0,3.0,5,False,1.0,3.0,864.0,2140.0
2013-06-01 06:00:00,65.0,74.0,0.0,,5,False,,5.0,,12247.0
2013-06-01 07:00:00,65.0,77.0,0.0,0.0,5,False,1.0,8.0,370.0,39928.0
2013-06-01 08:00:00,66.0,79.0,0.0,0.0,5,False,2.0,11.0,5656.0,9647.0
2013-06-01 09:00:00,67.0,83.0,0.0,5.0,5,False,8.0,33.0,11717.0,112199.0
2013-06-01 10:00:00,66.0,85.0,0.0,7.0,5,False,5.0,31.0,6196.0,29938.0
2013-06-01 11:00:00,68.0,88.0,0.0,5.0,5,False,20.0,36.0,140850.0,28010.0
2013-06-01 12:00:00,67.0,88.0,0.0,7.0,5,False,27.0,51.0,69855.0,165713.0
2013-06-01 13:00:00,66.0,88.0,0.0,,5,False,26.0,46.0,54171.0,129099.0
2013-06-01 15:00:00,65.0,88.0,0.0,5.0,5,False,27.0,40.0,47923.0,45242.0
2013-06-01 16:00:00,63.0,86.0,0.0,5.0,5,False,42.0,43.0,160407.0,270791.0
2013-06-01 17:00:00,64.0,84.0,0.0,0.0,5,False,49.0,47.0,67430.0,77021.0
2013-06-01 18:00:00,64.0,82.0,0.0,6.0,5,False,32.0,37.0,52533.0,40251.0
2013-06-01 19:00:00,66.0,82.0,0.0,3.0,5,False,47.0,45.0,69308.0,55394.0
2013-06-01 20:00:00,66.0,81.0,0.0,3.0,5,False,42.0,36.0,164433.0,50936.0
2013-06-01 21:00:00,67.0,79.0,0.0,0.0,5,False,30.0,17.0,48085.0,67184.0
2013-06-01 22:00:00,67.0,78.0,0.0,3.0,5,False,26.0,24.0,110744.0,21227.0
2013-06-01 23:00:00,67.0,78.0,0.0,7.0,5,False,27.0,16.0,104415.0,13508.0
2013-06-02 00:00:00,67.0,76.0,0.0,5.0,6,False,22.0,10.0,60075.0,9399.0
2013-06-02 01:00:00,66.0,75.0,0.0,6.0,6,False,7.0,16.0,7346.0,13961.0
2013-06-02 02:00:00,66.0,75.0,0.0,5.0,6,False,9.0,4.0,15523.0,2791.0
2013-06-02 03:00:00,65.0,75.0,0.0,7.0,6,False,3.0,2.0,5177.0,620.0
2013-06-02 04:00:00,65.0,74.0,0.0,6.0,6,False,1.0,1.0,516.0,861.0
2013-06-02 05:00:00,66.0,74.0,0.0,,6,False,2.0,,2334.0,
2013-06-02 06:00:00,65.0,76.0,0.0,3.0,6,False,5.0,1.0,18956.0,201.0
2013-06-02 07:00:00,66.0,77.0,0.0,6.0,6,False,3.0,6.0,4621.0,64215.0
2013-06-02 08:00:00,67.0,79.0,0.0,3.0,6,False,16.0,8.0,31411.0,9648.0
2013-06-02 09:00:00,67.0,82.0,0.0,8.0,6,False,30.0,26.0,48500.0,25910.0
2013-06-02 10:00:00,67.0,85.0,0.0,,6,False,40.0,38.0,71134.0,46471.0
2013-06-02 11:00:00,66.0,86.0,0.0,10.0,6,False,88.0,36.0,225974.0,190453.0
2013-06-02 12:00:00,67.0,87.0,0.0,13.0,6,False,111.0,64.0,214416.0,220718.0
2013-06-02 13:00:00,66.0,84.0,0.0,5.0,6,False,139.0,60.0,2985055.0,78000.0
2013-06-02 14:00:00,68.0,84.0,0.0,,6,False,125.0,59.0,231422.0,60124.0
2013-06-02 15:00:00,66.0,86.0,0.0,6.0,6,False,127.0,57.0,251014.0,77616.0
2013-06-02 16:00:00,63.0,85.0,0.0,14.0,6,False,123.0,63.0,238809.0,65046.0
2013-06-02 17:00:00,62.0,83.0,0.0,6.0,6,False,101.0,43.0,193302.0,54920.0
2013-06-02 18:00:00,64.0,82.0,0.0,3.0,6,False,114.0,62.0,171489.0,69742.0
2013-06-02 19:00:00,65.0,82.0,0.0,5.0,6,False,109.0,45.0,145737.0,129090.0
2013-06-02 20:00:00,64.0,80.0,0.0,0.0,6,False,77.0,34.0,613115.0,29916.0
2013-06-02 21:00:00,67.0,77.0,0.02,5.0,6,False,49.0,28.0,66001.0,19372.0
2013-06-02 22:00:00,68.0,69.0,0.71,9.0,6,False,24.0,18.0,30875.0,13893.0
2013-06-02 23:00:00,68.0,70.0,0.12,5.0,6,False,4.0,2.0,5990.0,642.0
2013-06-03 00:00:00,68.0,70.0,0.003,6.0,0,False,6.0,1.0,6554.0,526.0
2013-06-03 01:00:00,68.0,70.0,0.03,6.0,0,False,3.0,1.0,2482.0,926.0
2013-06-03 02:00:00,68.0,70.0,0.04,6.0,0,False,3.0,1.0,1060.0,329.0
2013-06-03 05:00:00,68.0,69.0,0.003,6.0,0,False,2.0,2.0,6239.0,4262.0
2013-06-03 06:00:00,67.0,69.0,0.1,5.0,0,False,4.0,14.0,4258.0,26313.0
2013-06-03 07:00:00,68.0,69.0,0.02,5.0,0,False,7.0,18.0,4523.0,153203.0
2013-06-03 08:00:00,67.0,69.0,0.15,0.0,0,False,4.0,23.0,5283.0,25788.0
2013-06-03 09:00:00,68.0,70.0,0.003,5.0,0,False,4.0,10.0,9864.0,22404.0
2013-06-03 10:00:00,69.0,73.0,0.0,3.0,0,False,4.0,12.0,5550.0,10640.0
2013-06-03 11:00:00,67.0,74.0,0.0,6.0,0,False,14.0,29.0,36428.0,17958.0
2013-06-03 12:00:00,65.0,76.0,0.0,5.0,0,False,25.0,35.0,24393.0,44234.0
2013-06-03 13:00:00,63.0,75.0,0.0,0.0,0,False,21.0,36.0,20271.0,28738.0
2013-06-03 14:00:00,66.0,74.0,0.0,3.0,0,False,37.0,31.0,52062.0,31681.0
2013-06-03 15:00:00,67.0,74.0,0.0,3.0,0,False,34.0,30.0,62698.0,28244.0
2013-06-03 16:00:00,68.0,69.0,0.52,5.0,0,False,41.0,43.0,56197.0,32817.0
2013-06-03 17:00:00,68.0,70.0,0.0,0.0,0,False,24.0,40.0,30432.0,43669.0
2013-06-03 18:00:00,68.0,70.0,0.0,0.0,0,False,28.0,77.0,72740.0,120629.0
2013-06-03 19:00:00,68.0,70.0,0.0,0.0,0,False,41.0,67.0,50809.0,154944.0
2013-06-03 20:00:00,59.0,69.0,0.0,5.0,0,False,31.0,36.0,93642.0,287784.0
2013-06-03 21:00:00,54.0,68.0,0.0,3.0,0,False,15.0,28.0,58579.0,80505.0
2013-06-03 22:00:00,46.0,68.0,0.0,3.0,0,False,23.0,19.0,93988.0,26152.0
2013-06-03 23:00:00,47.0,66.0,0.0,5.0,0,False,14.0,15.0,48819.0,47151.0
2013-06-04 00:00:00,43.0,64.0,0.0,3.0,1,False,13.0,8.0,16105.0,3702.0
2013-06-04 01:00:00,43.0,63.0,0.0,6.0,1,False,7.0,,8485.0,
2013-06-04 02:00:00,42.0,60.0,0.0,,1,False,4.0,2.0,12112.0,3862.0
2013-06-04 03:00:00,41.0,59.0,0.0,7.0,1,False,,1.0,,853.0
2013-06-04 04:00:00,41.0,58.0,0.0,8.0,1,False,1.0,1.0,3876479.0,262.0
2013-06-04 05:00:00,42.0,57.0,0.0,,1,False,1.0,5.0,580.0,32048.0
2013-06-04 06:00:00,41.0,58.0,0.0,5.0,1,False,3.0,25.0,3122.0,54384.0
2013-06-04 07:00:00,40.0,59.0,0.0,5.0,1,False,16.0,49.0,19858.0,39697.0
2013-06-04 08:00:00,42.0,61.0,0.0,5.0,1,False,31.0,117.0,33382.0,477394.0
2013-06-04 09:00:00,44.0,64.0,0.0,,1,False,41.0,84.0,163827.0,312219.0
2013-06-04 10:00:00,42.0,67.0,0.0,7.0,1,False,22.0,34.0,51203.0,62613.0
2013-06-04 11:00:00,43.0,70.0,0.0,7.0,1,False,34.0,38.0,84369.0,221713.0
2013-06-04 12:00:00,43.0,70.0,0.0,9.0,1,False,52.0,43.0,118474.0,103552.0
2013-06-04 13:00:00,41.0,72.0,0.0,,1,False,62.0,59.0,183536.0,228686.0
2013-06-04 14:00:00,42.0,73.0,0.0,5.0,1,False,62.0,35.0,103499.0,65954.0
2013-06-04 15:00:00,41.0,73.0,0.0,0.0,1,False,48.0,38.0,217021.0,246455.0
2013-06-04 16:00:00,40.0,73.0,0.0,3.0,1,False,81.0,48.0,132663.0,58853.0
2013-06-04 17:00:00,39.0,73.0,0.0,5.0,1,False,74.0,102.0,427539.0,128755.0
2013-06-04 18:00:00,38.0,72.0,0.0,5.0,1,False,76.0,118.0,235101.0,317318.0
2013-06-04 19:00:00,39.0,70.0,0.0,5.0,1,False,85.0,90.0,246347.0,282290.0
2013-06-04 20:00:00,37.0,70.0,0.0,7.0,1,False,43.0,83.0,110464.0,289590.0
2013-06-04 21:00:00,36.0,68.0,0.0,0.0,1,False,43.0,52.0,133098.0,57823.0
2013-06-04 22:00:00,36.0,66.0,0.0,,1,False,35.0,22.0,138101.0,32254.0
2013-06-04 23:00:00,38.0,63.0,0.0,3.0,1,False,18.0,20.0,24717.0,58441.0
2013-06-05 00:00:00,35.0,63.0,0.0,5.0,2,False,17.0,11.0,307292.0,7356.0
2013-06-05 01:00:00,35.0,62.0,0.0,3.0,2,False,5.0,2.0,3468.0,997.0
2013-06-05 02:00:00,40.0,59.0,0.0,0.0,2,False,2.0,1.0,8883.0,1713.0
2013-06-05 03:00:00,41.0,60.0,0.0,3.0,2,False,4.0,,3596.0,
2013-06-05 04:00:00,39.0,59.0,0.0,5.0,2,False,,1.0,,4704.0
